course_id,course_type,year,enrollment_count,pre_score,post_score,pre_requirement,department
0173,online,2018,251,66.94,79,Beginner,Technology
0174,classroom,2022,155,74.53,84,Intermediate,Science
0175,online,2014,238,78.57,71,Intermediate,Mathematics
0176,online,2019,255,83.94,81,None,Mathematics
0177,online,2012,261,31.21,84,None,Technology
0178,online,2020,261,17.32,63,None,Technology
0179,online,2016,251,47.02,NA,Beginner,Technology
0180,online,2012,251,5.81,63,Beginner,Technology
0181,online,2016,246,9.06,61,Beginner,Mathematics
0182,classroom,2016,181,25.75,67,None,Mathematics
0183,online,2019,241,2.97,55,Beginner,Science
0184,classroom,2013,165,46.38,77,Beginner,Science
0185,online,2012,231,44.69,86,Intermediate,Science
0186,online,2016,251,6.99,65,Beginner,Technology
0187,classroom,2022,180,87.34,69,Beginner,Engineering
0188,online,2018,256,29.8,56,None,Math
0189,online,2017,241,20.21,65,Beginner,Science
0190,online,2019,236,70.82,66,Intermediate,Mathematics
0191,online,2011,261,42.31,90,None,Technology
0192,online,2018,261,-,80,None,Technology
0193,online,2019,261,1.09,65,None,Technology
0194,online,2014,256,-,NA,Beginner,Engineering
0195,online,2017,261,91.82,78,None,Technology
0196,online,2012,251,96.72,82,None,Science
0197,online,2014,251,51.16,75,Beginner,Technology
0198,online,2013,261,78.96,NA,None,Technology
0199,online,2021,236,90,74,Intermediate,Math
0200,online,2016,241,47.29,66,Intermediate,Technology
0201,classroom,2017,165,65.37,67,Beginner,Science
0202,online,2014,232,61.82,62,Intermediate,Science
0203,online,2021,256,23.35,81,None,Math
0204,online,2015,256,38.49,79,None,Math
0205,online,2019,251,36.73,68,None,Science
0206,classroom,2018,175,-,64,Beginner,Technology
0207,online,2022,246,4.52,67,Beginner,Math
0208,classroom,2012,170,49.15,59,Intermediate,Engineering
0209,online,2020,246,83.43,84,Beginner,Math
0210,online,2019,266,64.79,82,None,Engineering
0211,online,2022,241,94.52,69,Beginner,Science
0212,classroom,2013,165,36.14,NA,Intermediate,Technology
0213,classroom,2019,165,24.94,83,Intermediate,Technology
0214,online,2017,241,4.84,NA,Beginner,Science
0215,online,2020,251,28.66,62,Beginner,Technology
0216,online,2015,251,88.86,98,Beginner,Technology
0217,online,2021,246,65.02,69,Beginner,Math
0218,classroom,2020,175,58.52,75,None,Science
0219,classroom,2017,180,3.41,73,None,Math
0220,online,2018,251,54.76,81,NA,Science
0221,online,2019,246,51.88,80,Beginner,Mathematics
0222,online,2012,256,1.75,NA,None,Mathematics
0223,online,2021,235,53.47,66,Intermediate,Math
0224,online,2022,251,31.58,70,Beginner,Technology
0225,classroom,2013,180,67.83,78,None,Mathematics
0226,online,2014,246,53.82,73,Intermediate,Engineering
0227,online,2019,261,33.06,60,None,Technology
0228,online,2013,251,6.56,80,Beginner,Technology
0229,online,2018,261,92.51,84,None,Technology
0230,classroom,2015,181,-,69,None,Math
0231,online,2011,261,90.85,77,None,Technology
0232,online,2015,256,75.17,78,None,Math
0233,online,2011,261,94.31,85,None,Technology
0234,online,2019,241,8.31,70,Intermediate,Technology
0235,online,2016,251,23.13,75,Beginner,Technology
0236,online,2018,261,-,69,None,Technology
0237,online,2011,261,85.19,80,None,Technology
0238,online,2013,261,59.28,79,None,Technology
0239,online,2012,246,45.69,75,Beginner,Mathematics
0240,online,2018,241,53.57,68,Beginner,Science
0241,classroom,2014,185,76.63,NA,None,Technology
0242,online,2012,261,35.91,70,None,Technology
0243,classroom,2017,170,1.96,NA,Intermediate,Engineering
0244,online,2013,251,39.42,73,None,Science
0245,online,2016,261,80.64,81,NA,Technology
0246,classroom,2019,165,12.37,71,Beginner,Science
0247,online,2020,261,61.21,67,None,Technology
0248,online,2017,261,71.15,80,None,Technology
0249,classroom,2017,170,16.3,72,Beginner,Math
0250,online,2020,251,9.39,68,Beginner,Technology
0251,online,2018,241,3.45,64,Beginner,Science
0252,online,2012,246,48.69,71,Intermediate,Engineering
0253,online,2012,261,-,64,None,Technology
0254,classroom,2017,170,61.31,69,Intermediate,Engineering
0255,online,2013,241,53.59,80,Beginner,Science
0256,online,2011,261,-,73,None,Technology
0257,online,2022,241,58.35,80,Beginner,Science
0258,online,2017,266,78.81,NA,None,Engineering
0259,classroom,2011,171,37.26,70,Beginner,Math
0260,online,2016,251,22.59,78,Beginner,Technology
0261,online,2020,251,89.84,78,Beginner,Technology
0262,classroom,2018,170,82.6,79,Beginner,Mathematics
0263,classroom,2018,155,51.39,80,Intermediate,Science
0264,classroom,2013,165,-,74,Intermediate,Technology
0265,online,2016,241,83.1,69,Beginner,Science
0266,online,2015,261,86.24,84,None,Technology
0267,online,2021,261,91.77,80,None,Technology
0268,online,2018,257,28.2,68,None,Mathematics
0269,classroom,2016,175,35.37,67,Beginner,Technology
0270,online,2016,241,33.55,64,Beginner,Science
0271,classroom,2015,170,47.39,73,Intermediate,Engineering
0272,online,2013,252,19.52,81,None,Science
0273,online,2017,256,20.79,62,Beginner,Engineering
0274,online,2015,251,25.82,67,NA,Science
0275,online,2014,261,32.96,79,None,Technology
0276,online,2011,251,36.58,69,Beginner,Technology
0277,classroom,2011,175,-,75,None,Science
0278,online,2016,261,27.99,64,None,Technology
0279,online,2013,247,2.29,60,Beginner,Math
0280,online,2012,246,55.33,73,Beginner,Math
0281,online,2020,261,17.48,76,None,Technology
0282,online,2012,256,48.48,77,None,Math
0283,online,2019,252,69.27,74,None,Science
0284,online,2021,256,23.23,67,Beginner,Engineering
0285,online,2011,241,37.18,87,Beginner,Science
0286,classroom,2016,165,59.96,84,Intermediate,Technology
0287,online,2015,241,-,87,Beginner,Science
0288,online,2018,261,16.37,NA,None,Technology
0289,online,2015,256,81.73,75,None,Mathematics
0290,online,2022,258,13.45,72,None,Mathematics
0291,online,2020,261,33.44,72,None,Technology
0292,online,2021,241,51.62,75,Beginner,Science
0293,online,2016,251,22.99,75,Beginner,Technology
0294,online,2017,261,-,82,None,Technology
0295,online,2022,251,60.6,79,None,Science
0296,online,2017,246,-,81,Beginner,Math
0297,online,2021,255,14.36,65,None,Math
0298,online,2019,246,33.8,78,Beginner,Mathematics
0299,classroom,2015,180,31.76,76,Beginner,Engineering
0300,online,2019,246,31.09,77,Intermediate,Engineering
0301,online,2018,258,16.25,NA,None,Math
0302,online,2019,251,56.12,77,None,Science
0303,classroom,2019,170,69.87,67,Intermediate,Engineering
0304,classroom,2019,170,8.08,64,Intermediate,Engineering
0305,classroom,2011,185,2.35,75,NA,Technology
0306,classroom,2011,165,64.19,69,Beginner,Science
0307,online,2022,251,15.78,71,Beginner,Technology
0308,online,2016,261,15.93,72,None,Technology
0309,online,2018,247,52.59,66,Beginner,Mathematics
0310,classroom,2018,155,39.19,78,Intermediate,Science
0311,classroom,2020,155,96.31,82,Intermediate,Science
0312,online,2014,246,45.11,69,Intermediate,Engineering
0313,online,2017,241,53.07,66,Beginner,Science
0314,online,2013,251,22.94,71,Beginner,Technology
0315,online,2018,261,49.52,72,None,Technology
0316,classroom,2022,170,22.65,NA,Intermediate,Engineering
0317,online,2020,251,-,79,None,Science
0318,online,2021,241,47.43,77,Beginner,Science
0319,classroom,2013,170,22.43,75,Intermediate,Engineering
0320,online,2015,261,46.45,72,None,Technology
0321,online,2018,266,8.79,67,None,Engineering
0322,classroom,2015,165,39.84,NA,Beginner,Science
0323,online,2013,251,84.31,71,None,Science
0324,classroom,2017,170,82.99,86,Beginner,Math
0325,online,2018,246,21.97,61,Beginner,Math
0326,online,2015,251,6.88,66,Beginner,Technology
0327,online,2013,251,91.05,84,Beginner,Technology
0328,classroom,2013,185,90.44,73,None,Technology
0329,classroom,2014,175,42.38,82,None,Science
0330,classroom,2019,165,56.17,82,Beginner,Science
0331,online,2015,261,86.61,83,None,Technology
0332,online,2016,256,57.41,73,None,Math
0333,online,2019,231,29.71,80,Intermediate,Science
0334,classroom,2014,170,79.87,82,Intermediate,Engineering
0335,classroom,2011,175,-,81,None,Science
0336,classroom,2017,165,20.4,62,Beginner,Science
0337,online,2017,251,73.28,NA,Beginner,Technology
0338,online,2011,236,21.21,67,Intermediate,Math
0339,online,2019,256,34.68,63,None,Mathematics
0340,online,2021,261,2.61,NA,None,Technology
0341,online,2015,261,81.3,77,None,Technology
0342,online,2011,241,51.83,77,Beginner,Science
0343,classroom,2020,171,50.32,78,Beginner,Math
0344,online,2015,241,33.36,76,Beginner,Science
0345,online,2018,266,-,63,None,Engineering
0346,online,2020,256,81.77,70,Beginner,Engineering
0347,online,2022,236,33.27,84,Intermediate,Mathematics
0348,classroom,2022,155,57.5,74,Intermediate,Science
0349,online,2015,261,64.04,93,None,Technology
0350,online,2012,251,82.16,79,None,Science
0351,classroom,2021,170,48.62,81,Intermediate,Engineering
0352,online,2018,261,29.25,67,NA,Technology
0353,classroom,2016,180,85.56,NA,Beginner,Engineering
0354,online,2021,261,8.67,51,NA,Technology
0355,classroom,2016,180,20.98,72,Beginner,Engineering
0356,online,2022,251,7.76,74,None,Science
0357,online,2021,261,44.95,65,None,Technology
0358,online,2013,261,91.91,85,NA,Technology
0359,online,2018,261,14.33,71,None,Technology
0360,classroom,2014,155,75.7,NA,Intermediate,Science
0361,online,2021,256,41.51,71,None,Mathematics
0362,online,2015,261,30.67,NA,None,Technology
0363,online,2014,261,42.41,NA,NA,Technology
0364,online,2013,241,68.29,79,Beginner,Science
0365,online,2020,261,11.72,68,None,Technology
0366,online,2013,246,47.32,68,Beginner,Math
0367,online,2022,251,33.31,60,NA,Science
0368,online,2012,246,26.2,59,Beginner,Mathematics
0369,online,2014,241,41.81,NA,Intermediate,Technology
0370,online,2021,261,83.33,95,None,Technology
0371,online,2013,261,41.79,72,None,Technology
0372,classroom,2019,155,28.03,73,Intermediate,Science
0373,classroom,2013,155,97.07,NA,Intermediate,Science
0374,online,2016,240,83.78,80,Beginner,Science
0375,online,2012,232,17.16,74,Intermediate,Science
0376,online,2014,241,10.54,65,Beginner,Science
0377,classroom,2012,155,35.39,79,Intermediate,Science
0378,online,2011,261,44.49,65,None,Technology
0379,classroom,2021,160,58.43,63,Intermediate,Mathematics
0380,classroom,2022,169,52.04,82,Beginner,Mathematics
0381,classroom,2011,175,32.85,77,Beginner,Technology
0382,online,2018,251,18.06,62,None,Science
0383,online,2011,246,76.63,69,Intermediate,Engineering
0384,online,2015,251,87.45,90,Beginner,Technology
0385,online,2018,261,42.26,NA,None,Technology
0386,online,2021,241,62.94,70,Beginner,Science
0387,classroom,2013,170,38.6,81,Beginner,Mathematics
0388,online,2017,251,12.59,69,Beginner,Technology
0389,online,2017,256,14.08,75,None,Mathematics
0390,online,2015,261,29.16,76,None,Technology
0391,online,2016,261,6.99,62,None,Technology
0392,online,2013,261,72.3,73,None,Technology
0393,classroom,2020,170,98.6,87,Beginner,Math
0394,classroom,2012,170,85.31,77,Intermediate,Engineering
0395,online,2020,261,49.29,70,None,Technology
0396,online,2012,256,12.58,78,Beginner,Engineering
0397,online,2015,241,3.81,81,Beginner,Science
0398,online,2012,261,83.66,NA,None,Technology
0399,online,2019,236,66.56,76,Intermediate,Math
0400,online,2017,256,37.07,NA,None,Mathematics
0401,online,2015,256,61.75,79,None,Math
0402,classroom,2015,175,9.14,70,Beginner,Technology
0403,online,2012,251,53.74,68,NA,Science
0404,classroom,2019,170,53.6,80,Intermediate,Engineering
0405,classroom,2019,165,77.31,87,Intermediate,Technology
0406,online,2018,256,68.97,NA,Beginner,Engineering
0407,online,2022,251,72.84,71,Beginner,Technology
0408,classroom,2020,190,84.96,71,None,Engineering
0409,online,2012,261,49.43,77,None,Technology
0410,online,2013,251,22.42,NA,Beginner,Technology
0411,online,2017,251,-,71,None,Science
0412,online,2015,255,11.76,73,None,Mathematics
0413,online,2021,261,22.46,74,None,Technology
0414,online,2015,256,42.34,65,Beginner,Engineering
0415,online,2021,261,83.4,80,None,Technology
0416,online,2014,256,93.6,86,None,Mathematics
0417,online,2016,246,11.14,69,Beginner,Mathematics
0418,online,2018,266,100,90,NA,Engineering
0419,online,2013,256,94.5,83,Beginner,Engineering
0420,classroom,2012,175,-,74,Beginner,Technology
0421,classroom,2022,175,83.07,80,Beginner,Technology
0422,classroom,2019,170,52.3,72,Intermediate,Engineering
0423,online,2021,241,67.19,89,Intermediate,Technology
0424,online,2021,256,28.66,68,NA,Math
0425,online,2020,246,85.82,92,Beginner,Math
0426,online,2020,232,42.22,76,Intermediate,Science
0427,classroom,2021,175,-,84,None,Science
0428,online,2011,256,40.16,82,None,Mathematics
0429,online,2016,252,14.79,81,NA,Science
0430,online,2021,261,49.78,79,None,Technology
0431,online,2016,256,82.5,82,None,Math
0432,online,2015,241,76.48,87,Beginner,Science
0433,classroom,2011,155,20.68,NA,Intermediate,Science
0434,online,2017,256,14.94,76,None,Math
0435,online,2016,256,75.1,75,NA,Mathematics
0436,online,2018,256,51.95,80,Beginner,Engineering
0437,online,2016,251,71.87,76,Beginner,Technology
0438,online,2013,261,58.09,88,None,Technology
0439,online,2012,261,72.97,82,None,Technology
0440,online,2013,241,18.43,72,Beginner,Science
0441,online,2016,241,53.5,84,Beginner,Science
0442,online,2012,261,43.35,70,NA,Technology
0443,online,2013,261,54.2,79,None,Technology
0444,classroom,2020,165,74.48,NA,Beginner,Science
0445,classroom,2015,175,13.42,74,None,Science
0446,online,2016,261,35.72,64,None,Technology
0447,classroom,2011,170,-,71,Intermediate,Engineering
0448,online,2020,255,35.67,79,None,Mathematics
0449,online,2017,261,86.83,80,None,Technology
0450,classroom,2011,180,30.58,72,Beginner,Engineering
0451,online,2021,246,16.07,72,Intermediate,Engineering
0452,online,2021,241,-,75,Intermediate,Technology
0453,online,2021,251,28.46,66,None,Science
0454,online,2019,241,5.63,66,Beginner,Science
0455,classroom,2012,155,29.08,82,Intermediate,Science
0456,classroom,2017,165,10.15,76,Beginner,Science
0457,online,2014,256,14.17,78,None,Mathematics
0458,online,2012,241,77.21,NA,Beginner,Science
0459,online,2012,261,78.74,78,None,Technology
0460,online,2020,246,7.03,66,Beginner,Math
0461,online,2018,256,-,NA,None,Math
0462,online,2013,267,30.05,70,None,Engineering
0463,classroom,2022,180,69.69,79,Beginner,Engineering
0464,online,2022,245,97.5,94,Beginner,Mathematics
0465,online,2014,251,88.22,84,Beginner,Technology
0466,online,2019,256,-,81,Beginner,Engineering
0467,classroom,2014,165,17.26,63,Beginner,Science
0468,online,2012,256,38.77,65,None,Mathematics
0469,online,2020,241,50.16,77,Beginner,Science
0470,online,2019,241,74.14,82,Beginner,Science
0471,classroom,2012,170,73.21,79,Intermediate,Engineering
0472,online,2012,247,41.34,80,Beginner,Math
0473,classroom,2021,175,-,85,Beginner,Technology
0474,online,2016,256,81.29,73,None,Math
0475,online,2018,236,1.05,65,Intermediate,Math
0476,classroom,2022,165,86.08,86,Beginner,Science
0477,online,2022,251,87.13,NA,Beginner,Technology
0478,classroom,2013,165,45.58,81,Beginner,Science
0479,classroom,2022,156,23.12,69,Intermediate,Science
0480,classroom,2015,165,58.59,75,Beginner,Science
0481,online,2017,261,53.54,85,None,Technology
0482,online,2021,251,70.14,NA,None,Science
0483,online,2014,251,2.13,66,Beginner,Technology
0484,classroom,2012,185,67.61,81,None,Technology
0485,online,2021,256,87.01,81,NA,Math
0486,classroom,2015,155,74.26,89,Intermediate,Science
0487,online,2020,251,54.18,76,Beginner,Technology
0488,online,2020,246,13.61,71,Intermediate,Engineering
0489,online,2013,261,58.08,86,None,Technology
0490,classroom,2012,170,18.47,66,Beginner,Mathematics
0491,online,2022,261,6.22,61,None,Technology
0492,online,2022,251,91.46,87,None,Science
0493,online,2017,261,13.25,75,None,Technology
0494,online,2019,236,94.71,67,Intermediate,Math
0495,classroom,2014,170,98.54,80,Intermediate,Engineering
0496,online,2013,246,97,NA,Intermediate,Engineering
0497,online,2015,261,72.27,90,None,Technology
0498,online,2017,261,83.82,NA,None,Technology
0499,classroom,2017,170,50.41,70,Intermediate,Engineering
0500,classroom,2021,180,86.26,94,Beginner,Engineering
0501,classroom,2018,171,13.86,63,Beginner,Mathematics
0502,classroom,2013,165,55.93,NA,Beginner,Science
0503,classroom,2021,180,60.29,77,None,Mathematics
0504,classroom,2022,165,76.31,83,Beginner,Science
0505,online,2013,261,84.34,NA,None,Technology
0506,online,2018,246,46.03,65,Beginner,Math
0507,online,2022,261,86.85,90,None,Technology
0508,online,2013,241,74.21,89,Beginner,Science
0509,online,2012,237,68.18,77,Intermediate,Mathematics
0510,online,2017,261,49.9,72,None,Technology
0511,online,2019,261,58.3,89,None,Technology
0512,online,2013,261,93.94,89,None,Technology
0513,online,2013,246,98.1,NA,Beginner,Math
0514,online,2011,256,96.46,82,Beginner,Engineering
0515,online,2017,261,30.33,82,None,Technology
0516,online,2020,256,56.05,71,None,Mathematics
0517,classroom,2022,185,6.25,79,NA,Technology
0518,online,2013,255,56.13,85,None,Math
0519,online,2013,252,44.72,83,None,Science
0520,online,2013,261,45.08,78,None,Technology
0521,online,2015,251,62.58,86,Beginner,Technology
0522,online,2020,261,53.62,73,None,Technology
0523,online,2017,256,-,81,Beginner,Engineering
0524,online,2018,251,20.82,69,Beginner,Technology
0525,classroom,2013,170,75.26,76,Beginner,Math
0526,online,2022,242,41.15,79,Beginner,Science
0527,online,2015,236,53.1,58,Intermediate,Math
0528,online,2014,261,87.15,80,None,Technology
0529,online,2015,261,83.85,86,None,Technology
0530,online,2016,256,31.74,NA,Beginner,Engineering
0531,online,2018,261,43.56,67,None,Technology
0532,online,2015,251,33.43,65,None,Science
0533,classroom,2013,182,-,63,NA,Mathematics
0534,online,2012,261,46.18,87,None,Technology
0535,online,2013,246,35.57,NA,Beginner,Math
0536,online,2015,261,62.36,73,None,Technology
0537,classroom,2015,165,78.44,67,Beginner,Science
0538,online,2017,261,56.31,66,None,Technology
0539,online,2021,261,68.95,75,None,Technology
0540,online,2018,261,47.17,79,None,Technology
0541,classroom,2021,165,86.11,79,Intermediate,Technology
0542,classroom,2012,175,79.79,59,Beginner,Technology
0543,online,2019,251,-,72,Beginner,Technology
0544,online,2021,246,30.76,71,Beginner,Mathematics
0545,classroom,2016,165,40.1,72,Beginner,Science
0546,online,2015,251,84.59,87,None,Science
0547,classroom,2012,155,89.61,81,Intermediate,Science
0548,classroom,2012,170,96.48,89,Beginner,Math
0549,online,2013,261,80.22,78,None,Technology
0550,classroom,2014,170,48.65,78,Beginner,Math
0551,classroom,2014,170,94.76,87,Intermediate,Engineering
0552,online,2015,266,69.16,80,None,Engineering
0553,online,2021,261,92.64,90,None,Technology
0554,online,2020,236,56.62,68,Intermediate,Mathematics
0555,online,2020,261,-,66,NA,Technology
0556,classroom,2012,185,-,75,None,Technology
0557,online,2016,261,12.19,67,None,Technology
0558,online,2021,261,21.56,72,None,Technology
0559,online,2022,261,-,78,NA,Technology
0560,online,2013,251,11.5,70,None,Science
0561,online,2014,251,51.95,77,Beginner,Technology
0562,online,2020,256,85.96,94,Beginner,Engineering
0563,online,2018,261,52.36,71,None,Technology
0564,classroom,2020,155,86.65,71,Intermediate,Science
0565,online,2019,246,16.66,70,Beginner,Math
0566,classroom,2021,180,77.78,66,None,Math
0567,classroom,2016,170,3.33,57,Intermediate,Engineering
0568,online,2015,246,33.48,NA,Intermediate,Engineering
0569,classroom,2020,180,74.87,NA,Beginner,Engineering
0570,online,2022,261,89.43,81,None,Technology
0571,online,2016,261,3.13,70,None,Technology
0572,online,2019,261,51.44,83,None,Technology
0573,classroom,2018,175,67.21,67,Beginner,Technology
0574,online,2012,256,-,96,Beginner,Engineering
0575,online,2016,241,81.01,NA,Beginner,Science
